case_id,alert_type,failed_login_count,successful_login,new_ip,location_change,login_location,endpoint_anomaly,email_anomaly,cloud_anomaly,previous_incident,evidence_missing,evidence_conflict,risk_score,risk_level,investigation_steps,containment_decision,investigation_status,case_outcome
CASE-0480,Phishing Email,0,1,1,1,Hyderabad,0,1,1,1,0,1,65,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate to Senior Analyst,MANUAL REVIEW - Conflicting Evidence,Confirmed Incident
CASE-0481,Phishing Email,2,0,1,0,Chennai,0,0,0,1,0,1,20,LOW,Validate Alert → Check Authentication History → Investigate IP and Location → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0482,Cloud Account Anomaly,1,1,0,1,Hyderabad,1,0,0,0,0,0,40,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Needs Further Investigation
CASE-0483,Suspicious Login,3,0,0,0,Delhi,1,0,0,0,0,0,15,LOW,Validate Alert → Check Authentication History → Review Endpoint Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,Normal Investigation,Benign Activity
CASE-0484,Suspicious Login,4,1,1,1,Mumbai,1,1,0,0,0,0,65,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Disable Account,Normal Investigation,Escalated Incident
CASE-0485,Suspicious Login,2,1,1,0,Chennai,1,0,1,0,1,0,45,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Benign Activity
CASE-0486,Endpoint Malware,0,1,0,0,Delhi,1,1,0,0,0,0,35,MEDIUM,Validate Alert → Check Authentication History → Review Endpoint Activity → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0487,Suspicious Login,2,1,0,0,Hyderabad,0,1,1,0,0,0,30,MEDIUM,Validate Alert → Check Authentication History → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Needs Further Investigation
CASE-0488,Cloud Account Anomaly,2,1,1,1,Mumbai,0,0,0,1,1,0,40,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Benign Activity
CASE-0489,Phishing Email,3,1,0,0,Bangalore,1,1,0,1,0,1,40,MEDIUM,Validate Alert → Check Authentication History → Review Endpoint Activity → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Needs Further Investigation
CASE-0490,Suspicious Login,5,1,0,1,Bangalore,1,0,1,1,0,1,75,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Disable Account,MANUAL REVIEW - Conflicting Evidence,Confirmed Incident
CASE-0491,Suspicious Login,2,0,0,0,Delhi,1,1,0,1,1,1,25,LOW,Validate Alert → Check Authentication History → Review Endpoint Activity → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,BLOCKED - Missing Evidence,Benign Activity
CASE-0492,Suspicious Login,3,0,1,0,Unknown,1,0,1,0,0,1,40,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0493,Endpoint Malware,3,0,0,0,Unknown,0,1,0,1,0,0,15,LOW,Validate Alert → Check Authentication History → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,Normal Investigation,Benign Activity
CASE-0494,Endpoint Malware,2,0,0,0,Chennai,1,0,1,0,0,0,25,LOW,Validate Alert → Check Authentication History → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,Normal Investigation,Benign Activity
CASE-0495,Cloud Account Anomaly,5,0,0,0,Mumbai,1,1,1,1,0,1,60,HIGH,Validate Alert → Check Authentication History → Review Endpoint Activity → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate to Senior Analyst,MANUAL REVIEW - Conflicting Evidence,Confirmed Incident
CASE-0496,Endpoint Malware,2,0,0,1,Unknown,0,0,1,0,1,0,20,LOW,Validate Alert → Check Authentication History → Investigate IP and Location → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,BLOCKED - Missing Evidence,Benign Activity
CASE-0497,Phishing Email,5,0,1,0,Chennai,0,0,0,1,0,0,40,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0498,Suspicious Login,0,0,0,0,Hyderabad,1,1,1,0,0,0,35,MEDIUM,Validate Alert → Check Authentication History → Review Endpoint Activity → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0499,Cloud Account Anomaly,1,1,0,0,Delhi,0,0,1,0,0,0,20,LOW,Validate Alert → Check Authentication History → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,Normal Investigation,Benign Activity
CASE-0500,Suspicious Login,1,0,0,0,Chennai,0,1,0,1,0,0,15,LOW,Validate Alert → Check Authentication History → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,Normal Investigation,Benign Activity
CASE-0501,Endpoint Malware,2,0,0,1,Mumbai,1,0,0,0,0,1,30,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0502,Endpoint Malware,1,1,1,1,Delhi,1,0,0,0,0,0,55,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Needs Further Investigation
CASE-0503,Suspicious Login,1,0,0,1,Bangalore,1,1,0,1,0,0,45,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0504,Suspicious Login,0,0,1,0,Bangalore,1,0,0,1,1,0,30,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Benign Activity
CASE-0505,Endpoint Malware,3,1,0,1,Mumbai,1,0,1,0,0,0,50,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Needs Further Investigation
CASE-0506,Endpoint Malware,3,0,0,1,Mumbai,0,0,1,1,1,0,25,LOW,Validate Alert → Check Authentication History → Investigate IP and Location → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,BLOCKED - Missing Evidence,Benign Activity
CASE-0507,Endpoint Malware,0,1,0,0,Delhi,0,0,1,1,0,1,25,LOW,Validate Alert → Check Authentication History → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0508,Cloud Account Anomaly,1,1,0,1,Hyderabad,0,0,1,1,0,1,40,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Needs Further Investigation
CASE-0509,Suspicious Login,2,1,0,0,Delhi,1,0,1,1,1,1,35,MEDIUM,Validate Alert → Check Authentication History → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Needs Further Investigation
CASE-0510,Cloud Account Anomaly,5,0,0,0,Chennai,1,0,0,1,0,0,40,MEDIUM,Validate Alert → Check Authentication History → Review Endpoint Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Needs Further Investigation
CASE-0511,Cloud Account Anomaly,1,1,0,1,Unknown,0,1,1,0,1,0,40,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Benign Activity
CASE-0512,Cloud Account Anomaly,3,0,0,1,Unknown,1,0,1,1,0,1,45,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Needs Further Investigation
CASE-0513,Suspicious Login,0,1,0,1,Mumbai,0,0,1,1,1,1,35,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Needs Further Investigation
CASE-0514,Phishing Email,2,0,0,0,Hyderabad,0,1,0,0,1,1,5,LOW,Validate Alert → Check Authentication History → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,BLOCKED - Missing Evidence,Benign Activity
CASE-0515,Endpoint Malware,1,0,1,1,Delhi,1,1,1,0,0,0,65,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Disable Account,Normal Investigation,Escalated Incident
CASE-0516,Suspicious Login,1,1,1,1,Mumbai,1,0,0,1,0,0,60,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Collect Evidence → Assess Risk → Determine Containment,Disable Account,Normal Investigation,Confirmed Incident
CASE-0517,Suspicious Login,2,0,0,1,Unknown,0,0,1,0,0,1,25,LOW,Validate Alert → Check Authentication History → Investigate IP and Location → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0518,Suspicious Login,2,1,1,0,Chennai,1,1,1,1,0,0,65,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Isolate Endpoint,Normal Investigation,Confirmed Incident
CASE-0519,Endpoint Malware,1,1,1,1,Bangalore,1,1,1,1,0,1,80,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Isolate Endpoint,MANUAL REVIEW - Conflicting Evidence,Escalated Incident
CASE-0520,Phishing Email,1,0,1,1,Hyderabad,1,0,0,1,0,0,50,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Needs Further Investigation
CASE-0521,Endpoint Malware,1,1,0,0,Hyderabad,0,0,0,0,0,0,10,LOW,Validate Alert → Check Authentication History → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,Normal Investigation,Benign Activity
CASE-0522,Endpoint Malware,1,1,1,1,Delhi,0,0,0,1,0,0,45,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0523,Endpoint Malware,3,1,0,0,Unknown,1,1,0,1,0,0,40,MEDIUM,Validate Alert → Check Authentication History → Review Endpoint Activity → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Needs Further Investigation
CASE-0524,Phishing Email,2,1,1,1,Unknown,0,1,1,0,1,0,55,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Needs Further Investigation
CASE-0525,Suspicious Login,5,1,0,1,Hyderabad,0,1,1,0,0,0,65,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate to Senior Analyst,Normal Investigation,Confirmed Incident
CASE-0526,Endpoint Malware,1,1,0,0,Mumbai,0,1,0,1,0,0,25,LOW,Validate Alert → Check Authentication History → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,Normal Investigation,Benign Activity
CASE-0527,Suspicious Login,3,1,1,0,Mumbai,1,1,1,1,0,0,65,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Disable Account,Normal Investigation,Escalated Incident
CASE-0528,Cloud Account Anomaly,2,0,0,1,Bangalore,1,1,1,0,1,1,45,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Benign Activity
CASE-0529,Suspicious Login,3,0,0,1,Unknown,1,1,0,1,0,0,45,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0530,Phishing Email,3,1,0,1,Chennai,0,0,0,1,0,1,30,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0531,Phishing Email,3,1,1,1,Chennai,0,0,0,0,0,0,40,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0532,Phishing Email,0,1,0,1,Hyderabad,0,0,0,1,1,0,25,LOW,Validate Alert → Check Authentication History → Investigate IP and Location → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,BLOCKED - Missing Evidence,Benign Activity
CASE-0533,Phishing Email,3,1,1,1,Bangalore,1,0,1,0,0,0,65,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate to Senior Analyst,Normal Investigation,Confirmed Incident
CASE-0534,Phishing Email,2,1,0,1,Chennai,0,0,1,1,1,1,35,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Benign Activity
CASE-0535,Phishing Email,1,1,0,0,Mumbai,0,0,0,1,0,1,15,LOW,Validate Alert → Check Authentication History → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0536,Phishing Email,2,1,0,1,Mumbai,0,0,0,1,0,0,30,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0537,Endpoint Malware,3,0,0,0,Chennai,0,0,0,1,1,0,0,LOW,Validate Alert → Check Authentication History → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,BLOCKED - Missing Evidence,Benign Activity
CASE-0538,Endpoint Malware,0,0,1,1,Chennai,1,1,0,1,0,0,60,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate to Senior Analyst,Normal Investigation,Escalated Incident
CASE-0539,Suspicious Login,2,0,0,0,Delhi,0,1,0,0,0,0,10,LOW,Validate Alert → Check Authentication History → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,Normal Investigation,Benign Activity
CASE-0540,Suspicious Login,0,0,0,1,Delhi,1,0,0,0,0,1,30,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Needs Further Investigation
CASE-0541,Suspicious Login,0,1,0,0,Bangalore,1,0,0,0,0,1,25,LOW,Validate Alert → Check Authentication History → Review Endpoint Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0542,Endpoint Malware,2,1,0,0,Hyderabad,0,1,1,1,0,1,35,MEDIUM,Validate Alert → Check Authentication History → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Needs Further Investigation
CASE-0543,Suspicious Login,1,0,0,0,Hyderabad,0,1,0,0,0,0,10,LOW,Validate Alert → Check Authentication History → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,Normal Investigation,Benign Activity
CASE-0544,Cloud Account Anomaly,0,1,0,1,Delhi,0,0,1,1,1,0,35,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Needs Further Investigation
CASE-0545,Suspicious Login,1,1,0,1,Chennai,0,0,1,1,0,1,40,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Needs Further Investigation
CASE-0546,Phishing Email,2,1,0,1,Delhi,1,1,1,1,0,1,65,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Disable Account,MANUAL REVIEW - Conflicting Evidence,Escalated Incident
CASE-0547,Endpoint Malware,3,0,1,1,Chennai,0,0,1,0,1,0,35,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Needs Further Investigation
CASE-0548,Endpoint Malware,4,1,1,0,Chennai,0,0,1,0,0,0,35,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0549,Endpoint Malware,2,1,1,1,Bangalore,1,1,1,1,1,0,75,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate to Senior Analyst,BLOCKED - Missing Evidence,Escalated Incident
CASE-0550,Cloud Account Anomaly,2,0,0,1,Chennai,1,1,0,0,0,0,40,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Needs Further Investigation
CASE-0551,Cloud Account Anomaly,2,0,0,1,Delhi,1,0,1,0,0,1,40,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0552,Endpoint Malware,0,1,1,1,Mumbai,1,1,0,0,1,0,60,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Disable Account,BLOCKED - Missing Evidence,Escalated Incident
CASE-0553,Cloud Account Anomaly,2,1,1,0,Mumbai,0,0,1,0,1,0,30,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Needs Further Investigation
CASE-0554,Cloud Account Anomaly,3,1,0,1,Hyderabad,1,1,0,0,1,0,45,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Benign Activity
CASE-0555,Cloud Account Anomaly,1,1,1,1,Unknown,0,0,0,0,0,0,40,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Needs Further Investigation
CASE-0556,Phishing Email,6,1,0,1,Bangalore,1,1,1,1,0,1,85,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Isolate Endpoint,MANUAL REVIEW - Conflicting Evidence,Confirmed Incident
CASE-0557,Phishing Email,1,0,0,1,Delhi,0,1,0,0,0,0,25,LOW,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,Normal Investigation,Benign Activity
CASE-0558,Cloud Account Anomaly,3,1,1,0,Delhi,1,0,1,1,1,0,50,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Needs Further Investigation
CASE-0559,Suspicious Login,1,0,1,1,Unknown,1,0,1,1,1,0,55,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Benign Activity
CASE-0560,Suspicious Login,1,0,1,1,Hyderabad,0,1,1,0,0,1,50,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Needs Further Investigation
CASE-0561,Phishing Email,3,1,0,1,Delhi,1,0,1,0,0,1,50,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0562,Phishing Email,3,0,1,1,Bangalore,1,1,0,0,0,1,55,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0563,Cloud Account Anomaly,3,1,1,0,Delhi,0,1,1,0,0,0,45,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0564,Cloud Account Anomaly,1,1,0,0,Delhi,1,1,1,0,0,1,45,MEDIUM,Validate Alert → Check Authentication History → Review Endpoint Activity → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Needs Further Investigation
CASE-0565,Endpoint Malware,6,0,0,0,Delhi,0,0,1,1,1,1,30,MEDIUM,Validate Alert → Check Authentication History → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Benign Activity
CASE-0566,Suspicious Login,0,0,0,1,Unknown,0,0,1,1,0,1,30,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Needs Further Investigation
CASE-0567,Cloud Account Anomaly,1,0,0,0,Delhi,1,1,0,1,0,1,30,MEDIUM,Validate Alert → Check Authentication History → Review Endpoint Activity → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Needs Further Investigation
CASE-0568,Endpoint Malware,4,0,0,0,Mumbai,1,1,0,0,0,0,25,LOW,Validate Alert → Check Authentication History → Review Endpoint Activity → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,Normal Investigation,Benign Activity
CASE-0569,Cloud Account Anomaly,0,0,1,0,Delhi,0,0,0,0,0,0,15,LOW,Validate Alert → Check Authentication History → Investigate IP and Location → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,Normal Investigation,Benign Activity
CASE-0570,Phishing Email,5,0,1,1,Delhi,0,1,1,1,0,0,75,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Isolate Endpoint,Normal Investigation,Escalated Incident
CASE-0571,Phishing Email,2,1,0,0,Unknown,0,0,1,1,0,1,25,LOW,Validate Alert → Check Authentication History → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0572,Phishing Email,1,0,0,1,Mumbai,1,0,1,1,0,0,45,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Needs Further Investigation
CASE-0573,Endpoint Malware,0,0,1,1,Mumbai,1,0,1,0,1,0,50,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Benign Activity
CASE-0574,Cloud Account Anomaly,0,0,0,1,Chennai,0,1,1,1,1,1,35,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Needs Further Investigation
CASE-0575,Endpoint Malware,4,1,0,0,Bangalore,1,0,1,1,0,0,40,MEDIUM,Validate Alert → Check Authentication History → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Needs Further Investigation
CASE-0576,Endpoint Malware,2,1,1,1,Delhi,1,0,1,0,0,0,65,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Isolate Endpoint,Normal Investigation,Confirmed Incident
CASE-0577,Phishing Email,2,0,1,1,Mumbai,0,0,0,0,0,0,30,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Needs Further Investigation
CASE-0578,Endpoint Malware,1,0,1,1,Chennai,1,0,0,1,0,1,50,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Needs Further Investigation
CASE-0579,Cloud Account Anomaly,0,1,1,0,Delhi,0,0,0,1,0,1,30,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Benign Activity
